Date,Open,High,Low,Close,Volume
2015-05-14,4942.490234,5043.689941,4905.700195,5029.310059,106266300
2015-05-15,5049.560059,5066.569824,4965.859863,4993.819824,118689900
2015-05-18,4996.959961,5026.279785,4932.009766,5012.310059,99355700
2015-05-19,5040.450195,5124.500000,5040.450195,5117.299805,131121300
2015-05-20,5106.259766,5139.060059,5089.430176,5133.299805,92775200
2015-05-21,5120.879883,5148.870117,5104.209961,5146.700195,76471600
2015-05-22,5147.410156,5155.279785,5121.689941,5142.890137,88052800
2015-05-25,5139.649902,5139.649902,5099.129883,5117.169922,21000700
2015-05-26,5122.870117,5146.029785,5062.470215,5083.540039,106516600
2015-05-27,5105.859863,5193.770020,5086.359863,5182.529785,121961600
2015-05-28,5157.250000,5164.240234,5096.529785,5137.830078,94177200
2015-05-29,5137.020020,5144.729980,5006.459961,5007.890137,161991900
2015-06-01,5029.049805,5060.490234,4989.939941,5025.299805,97082300
2015-06-02,5051.680176,5051.680176,4960.720215,5004.459961,121140700
2015-06-03,5016.370117,5088.140137,4991.270020,5034.169922,113879500
2015-06-04,5006.189941,5044.750000,4916.450195,4987.129883,129401400
2015-06-05,4951.799805,4966.450195,4894.169922,4920.740234,117606600
2015-06-08,4906.169922,4917.520020,4857.660156,4857.660156,100424300
2015-06-09,4849.120117,4868.419922,4783.919922,4850.220215,137312600
2015-06-10,4831.029785,4956.740234,4811.540039,4934.910156,125031000
2015-06-11,4926.770020,5022.100098,4917.919922,4971.370117,133827300
2015-06-12,4962.220215,4973.069824,4852.359863,4901.189941,118044300
2015-06-15,4844.950195,4871.069824,4805.100098,4815.359863,106993300
2015-06-16,4778.209961,4857.629883,4748.930176,4839.859863,122656600
2015-06-17,4845.729980,4858.049805,4773.189941,4790.620117,108775800
2015-06-18,4777.910156,4805.009766,4712.970215,4803.479980,135723200
2015-06-19,4807.580078,4870.520020,4799.270020,4815.370117,183933200
2015-06-22,4926.629883,5010.390137,4911.859863,4998.609863,170982500
2015-06-23,5045.569824,5078.509766,5024.259766,5057.680176,129386400
2015-06-24,5060.580078,5065.740234,5001.669922,5045.350098,137708100
2015-06-25,4996.629883,5087.080078,4996.629883,5041.709961,128574400
2015-06-26,5010.220215,5095.040039,4985.879883,5059.169922,105581800
2015-06-29,4821.450195,4946.620117,4819.029785,4869.819824,171663100
2015-06-30,4849.390137,4892.479980,4789.609863,4790.200195,167742900
2015-07-01,4849.430176,4941.609863,4813.689941,4883.189941,151634100
2015-07-02,4898.549805,4903.509766,4833.140137,4835.560059,100577600
2015-07-03,4836.459961,4847.379883,4780.549805,4808.220215,86776200
2015-07-06,4709.009766,4775.490234,4699.169922,4711.540039,136187400
2015-07-07,4712.629883,4724.540039,4602.160156,4604.640137,163782600
2015-07-08,4611.859863,4671.870117,4601.899902,4639.020020,144187300
2015-07-09,4667.209961,4777.029785,4655.450195,4757.220215,121520700
2015-07-10,4884.049805,4922.629883,4850.939941,4903.069824,139526500
2015-07-13,4985.140137,5010.580078,4959.620117,4998.100098,124421200
2015-07-14,4995.359863,5032.470215,4981.020020,5032.470215,88560800
2015-07-15,5027.910156,5055.600098,5017.830078,5047.240234,93627300
2015-07-16,5071.899902,5147.399902,5067.750000,5121.500000,123015200
2015-07-17,5138.979980,5138.979980,5110.479980,5124.390137,102644300
2015-07-20,5134.160156,5184.740234,5130.970215,5142.490234,79072100
2015-07-21,5153.850098,5157.240234,5093.770020,5106.569824,88546500
2015-07-22,5070.669922,5101.220215,5070.669922,5082.569824,89515800
2015-07-23,5122.850098,5122.850098,5067.819824,5086.740234,76980800
2015-07-24,5075.250000,5120.640137,5051.140137,5057.359863,104074600
2015-07-27,5030.890137,5033.910156,4924.290039,4927.600098,117642300
2015-07-28,4958.459961,4997.149902,4937.649902,4977.319824,111978000
2015-07-29,5006.009766,5021.439941,4970.279785,5017.439941,118376700
2015-07-30,5049.240234,5061.529785,5000.970215,5046.419922,145978900
2015-07-31,5063.470215,5083.640137,5035.379883,5082.609863,121244500
2015-08-03,5076.799805,5125.709961,5066.149902,5120.520020,102330900
2015-08-04,5114.629883,5114.629883,5075.879883,5112.140137,120699400
2015-08-05,5135.310059,5202.759766,5134.370117,5196.729980,122479600
2015-08-06,5186.549805,5217.799805,5177.950195,5192.109863,85599700
2015-08-07,5187.870117,5190.350098,5152.890137,5154.750000,92833800
2015-08-10,5179.839844,5197.649902,5133.629883,5195.410156,75338800
2015-08-11,5184.209961,5184.209961,5094.479980,5099.029785,101544800
2015-08-12,5051.490234,5051.720215,4907.330078,4925.430176,148968600
2015-08-13,5006.009766,5023.939941,4972.580078,4986.850098,95687200
2015-08-14,4987.060059,5017.220215,4940.729980,4956.470215,75630400
2015-08-17,4996.759766,5025.709961,4923.009766,4984.830078,80693900
2015-08-18,4972.790039,5000.279785,4956.120117,4971.250000,67103200
2015-08-19,4939.299805,4949.120117,4884.100098,4884.100098,91668100
2015-08-20,4867.450195,4882.109863,4774.870117,4783.549805,116307600
2015-08-21,4704.270020,4775.720215,4630.990234,4630.990234,156577700
2015-08-24,4465.479980,4540.129883,4230.490234,4383.459961,323292800
2015-08-25,4458.089844,4596.240234,4431.830078,4564.859863,221636500
2015-08-26,4499.229980,4582.209961,4430.750000,4501.049805,156232400
2015-08-27,4612.270020,4686.669922,4589.520020,4658.180176,152983100
2015-08-28,4663.979980,4675.129883,4624.109863,4675.129883,102147900
2015-08-31,4636.439941,4657.759766,4608.620117,4652.950195,90060900
2015-09-01,4586.330078,4599.229980,4499.490234,4541.160156,138326600
2015-09-02,4558.000000,4599.759766,4517.810059,4554.919922,103217500
2015-09-03,4601.750000,4692.299805,4589.979980,4653.790039,135856000
2015-09-04,4607.910156,4611.049805,4500.950195,4523.080078,133313100
2015-09-07,4563.850098,4587.589844,4524.990234,4549.640137,67094800
2015-09-08,4581.660156,4655.080078,4575.609863,4598.259766,99964700
2015-09-09,4707.410156,4733.049805,4662.879883,4664.589844,111082900
2015-09-10,4615.720215,4665.830078,4584.290039,4596.529785,111380500
2015-09-11,4618.589844,4618.589844,4545.140137,4548.720215,97934200
2015-09-14,4554.709961,4596.750000,4513.500000,4518.149902,100294700
2015-09-15,4529.959961,4591.470215,4502.209961,4569.370117,102194600
2015-09-16,4610.160156,4653.339844,4604.080078,4645.839844,99264400
2015-09-17,4660.169922,4665.990234,4629.200195,4655.140137,92433200
2015-09-18,4623.100098,4623.100098,4495.049805,4535.850098,248859900
2015-09-21,4526.279785,4605.259766,4526.279785,4585.500000,103003700
2015-09-22,4582.919922,4582.919922,4415.970215,4428.509766,158626000
2015-09-23,4427.790039,4488.270020,4400.419922,4432.830078,143884400
2015-09-24,4434.700195,4455.049805,4309.419922,4347.240234,172337200
2015-09-25,4423.120117,4514.419922,4413.709961,4480.660156,134147500
2015-09-28,4452.240234,4470.069824,4337.279785,4357.049805,134411100
2015-09-29,4297.189941,4377.220215,4278.569824,4343.729980,148574600
2015-09-30,4433.759766,4474.720215,4413.080078,4455.290039,160356000
